name,url,standard,address,task,result(total),result(error),result(warning),result(notice)
Whittle Surgery,http://www.whittlesurgery.co.uk/index.aspx,WCAG2AA,PR6 7PS,5d06a9ede0673f62602f59da,211,29,81,101
Barrowford Surgery Limited,http://www.barrowfordsurgery.co.uk/,WCAG2AA,BB9 8QP,5d06a9ede0673f62602f59db,314,29,76,209
Highfield Surgery,http://www.lodgesurgery.co.uk,WCAG2AA,AL4 0AY,5d06a9ede0673f62602f59dc,340,9,122,209
Drs Robinson And Siddiqui,http://www.withnellgp.co.uk,WCAG2AA,PR6 8UA,5d06a9ede0673f62602f59dd
Barrowford Health Centre,http://www.reedyfordgp.com/,WCAG2AA,BB9 8NR,5d06a9ede0673f62602f59de,776,206,145,425
New GP from January 2018 - Dr Zaki Patel,http://hollinsgrovesurgery.webs.com/,WCAG2AA,BB3 1ET,5d06a9ede0673f62602f59df,167,23,117,27
Pendle View Medical Centre,http://www.pendleviewmedicalcentre.co.uk/,WCAG2AA,BB9 5RZ,5d06a9ede0673f62602f59e0,1327,17,1124,186
Dr Norcross & Partners,http://www.ansdellmedicalcentre.co.uk/,WCAG2AA,FY8 4GW,5d06a9ede0673f62602f59e1,261,26,73,162
Dr Qazi Jehangir,https://www.drjehangirssurgery.co.uk,WCAG2AA,BB9 7SR,5d06a9ede0673f62602f59e2,174,7,54,113
Dr M Umar & Dr H Sadique,http://www.nelsonmedicalpracticelancs.nhs.uk/,WCAG2AA,BB9 7SR,5d06a9ede0673f62602f59e3,179,7,61,111
Reedyford Hlth Care Group,https://www.reedyfordgp.com,WCAG2AA,BB9 7SR,5d06a9ede0673f62602f59e4
The Old Links Surgery,http://www.oldlinkssurgery.com/,WCAG2AA,FY8 2LY,5d06a9ede0673f62602f59e5,277,27,88,162
Dr Anjum Seema Iqbal,http://www.ightenhillmedicalcentre.co.uk,WCAG2AA,BB12 0HL,5d06a9ede0673f62602f59e6,207,49,82,76
Buckshaw Village Health Centre,http://www.buckshawvillagesurgery.co.uk,WCAG2AA,PR7 7HZ,5d06a9ede0673f62602f59e7,460,38,137,285
Fairmore Medical Practice - Nelson Branch,http://www.pwehealthcare.co.uk,WCAG2AA,BB9 9SZ,5d06a9ede0673f62602f59e8,283,67,22,194
Darwen Healthlink,http://www.nhs.uk,WCAG2AA,BB3 1PY,5d06a9ede0673f62602f59e9,137,43,21,73
Darwen Health Care (Dr Dalton & Partners),http://darwenhealthcare.co.uk/,WCAG2AA,BB3 1PY,5d06a9ede0673f62602f59ea,541,108,260,173
Dr A Alam & Partner,http://www.umarmedicalcentre.nhs.uk/,WCAG2AA,BB3 2RJ,5d06a9ede0673f62602f59eb,242,24,86,132
Dr R A Wallworth & Partners,http://www.peelhouse.gpsurgery.net/webdesk/netblast/pages/ondex.html,WCAG2AA,BB5 2PZ,5d06a9ede0673f62602f59ec,376,166,5,205
The Euxton Medical Centre,http://www.euxtonmedicalcentre.nhs.uk/,WCAG2AA,PR7 6AH,5d06a9ede0673f62602f59ed,226,13,88,125
Colne Road Surgery,http://www.ssphealth.com,WCAG2AA,BB10 1LG,5d06a9ede0673f62602f59ee,131,48,10,73
Spring-Fenisco Healthlink,http://www.springfeniscohealthlink.co.uk/,WCAG2AA,BB3 1BZ,5d06a9ede0673f62602f59ef,275,103,120,52
Tarleton Group Practice,http://www.tarletongrouppractice.nhs.uk,WCAG2AA,PR4 6UJ,5d06a9ede0673f62602f59f0,127,15,40,72
The Pendle Medical Partnership,http://www.pendlemedical.co.uk,WCAG2AA,BB18 6QT,5d06a9ede0673f62602f59f1
St Nicholas Group Practice,http://www.stnicgroup.co.uk,WCAG2AA,BB11 2DL,5d06a9ede0673f62602f59f2,343,135,65,143
Riverside Family Practice,http://www.riversidefamilypractice.org.uk,WCAG2AA,BB11 2DL,5d06a9eee0673f62602f59f3,331,31,92,208
Briercliffe Surgery,http://www.briercliffemedicalcentre.co.uk,WCAG2AA,BB10 2EZ,5d06a9eee0673f62602f59f4,250,21,125,104
Croston Medical Centre,http://www.crostonmedicalcentre.nhs.uk,WCAG2AA,PR26 9HY,5d06a9eee0673f62602f59f5,470,38,138,294
The Horsfield Practice,http://www.colnecornersurgery.co.uk/,WCAG2AA,BB8 0LJ,5d06a9eee0673f62602f59f6,333,24,106,203
Oxford Road Medical Centre,http://www.oxfordroadmedicalcentre.co.uk,WCAG2AA,BB11 3BB,5d06a9eee0673f62602f59f7,112,10,59,43
The Richmond Hill Practice,http://www.therichmondhillpractice.co.uk,WCAG2AA,BB8 0JZ,5d06a9eee0673f62602f59f8,259,21,54,184
Eaves Lane Surgery,http://www.eaveslanesurgery.co.uk/,WCAG2AA,PR6 0DR,5d06a9eee0673f62602f59f9,461,38,137,286
Colne Family Doctors,http://colnefamilydoctors.com,WCAG2AA,BB8 0JZ,5d06a9eee0673f62602f59fa,238,66,19,153
Burnley Wood Medical Centre,http://www.burnleywoodmedicalcentre.co.uk,WCAG2AA,BB11 3HR,5d06a9eee0673f62602f59fb,282,20,128,134
Haverthwaite Surgery,http://www.haverthwaitesurgery.co.uk/,WCAG2AA,LA12 8QF,5d06a9eee0673f62602f59fc,320,52,148,120
Dr Johnston and Partners,http://www.drjohnstonandpartners.co.uk,WCAG2AA,LA12 7BT,5d06a9eee0673f62602f59fd,222,14,84,124
The James Cochrane Practice,http://www.jamescochranepractice.co.uk,WCAG2AA,LA9 7HR,5d06a9eee0673f62602f59fe,223,60,27,136
The Surgery Chorley,http://www.thesurgerychorley.co.uk/,WCAG2AA,PR7 2TH,5d06a9eee0673f62602f59ff,203,8,80,115
Dr R Baghdjian Surgery,http://www.chorleygp.co.uk,WCAG2AA,PR7 2TH,5d06a9eee0673f62602f5a00,68,3,48,17
The Chorley Surgery ,http://www.thechorleysurgery.com/,WCAG2AA,PR7 2EJ,5d06a9eee0673f62602f5a01,274,58,22,194
Gargrave Surgery,http://www.fishermedicalcentre.nhs.uk,WCAG2AA,BD23 3RF,5d06a9eee0673f62602f5a02,176,41,36,99
Library House Surgery,http://www.libraryhousesurgery.com/,WCAG2AA,PR7 2AD,5d06a9eee0673f62602f5a03,288,74,21,193
Regent House Surgery,http://www.regenthousesurgery.co.uk/,WCAG2AA,PR7 2DH,5d06a9eee0673f62602f5a04,303,10,177,116
North Meols Medical Centre,http://www.beaconprimarycare.org.uk,WCAG2AA,PR9 8ET,5d06a9eee0673f62602f5a05
Eccleston Health Centre,http://www.crostonmedicalcentre.nhs.uk,WCAG2AA,PR7 5RA,5d06a9eee0673f62602f5a06,460,38,137,285
Liverpool House Surgery,http://www.liverpoolhousesurgery.nhs.uk/,WCAG2AA,LA13 9QY,5d06a9eee0673f62602f5a07,172,8,56,108
Bridgegate Medical Centre,http://www.bridgegatemedicalcentre.nhs.uk,WCAG2AA,LA13 9SH,5d06a9eee0673f62602f5a08,260,28,122,110
Harambee Surgery,http://www.harambeesurgery.co.uk,WCAG2AA,BB8 8QU,5d06a9eee0673f62602f5a09,149,12,74,63
Dr Moujaes & Dr Mannan,http://www.thesurgeryhaslingden.nhs.uk/,WCAG2AA,BB4 5SL,5d06a9eee0673f62602f5a0a,165,7,39,119
Dr T H Mackenzie & Partners,http://haslingdenmedicalgrouppractice.co.uk,WCAG2AA,BB4 5SL,5d06a9eee0673f62602f5a0b,87,6,35,46
Rossendale Valley Medical Practice,http://www.rossendalevalleymedicalpractice.co.uk,WCAG2AA,BB4 5SL,5d06a9eee0673f62602f5a0c,1,0,0,1
Sedbergh Medical Practice,http://www.sedberghmp.nhs.uk/,WCAG2AA,LA10 5DL,5d06a9eee0673f62602f5a0d,460,22,256,182
Maude Street Surgery,http://www.jamescochranepractice.co.uk,WCAG2AA,LA9 4QE,5d06a9eee0673f62602f5a0e,223,60,27,136
ABBEY ROAD SURGERY,http://www.abbey-practice.co.uk,WCAG2AA,LA14 5JY,5d06a9eee0673f62602f5a0f,342,8,185,149
Duke Street Surgery,http://dukestreetsurgery.net.uk,WCAG2AA,LA14 1LF,5d06a9eee0673f62602f5a10
Atkinson Health Centre Practice,http://www.atkinsonhealthcentrepractice.nhs.uk,WCAG2AA,LA14 2LR,5d06a9eee0673f62602f5a11,213,12,84,117
The Corner Surgery,http://www.thecornersurgery.nhs.uk,WCAG2AA,SE5 9NS,5d06a9eee0673f62602f5a12,321,63,24,234
St James' Medical Centre,http://www.stjamesmedical.co.uk/,WCAG2AA,BB4 8HH,5d06a9eee0673f62602f5a13,120,13,29,78
The Marshside Surgery,http://www.marshsidesurgery.nhs.uk/,WCAG2AA,PR9 9XP,5d06a9eee0673f62602f5a14,232,30,47,155
Burnett Edgar Medical Centre,http://www.burnettedgarmedicalcentre.nhs.uk/,WCAG2AA,LA14 3HY,5d06a9eee0673f62602f5a15,216,6,83,127
Churchtown Medical Centre,http://www.churchtownmedicalcentre.nhs.uk,WCAG2AA,PR9 7LT,5d06a9eee0673f62602f5a16,181,6,67,108
Ilex View Medical Practice,http://www.ilexviewmedicalpractice.nhs.uk,WCAG2AA,BB4 7PL,5d06a9eee0673f62602f5a17,165,6,58,101
Fairmore Medical Practice - Rawtenstall Branch,http://www.pwehealthcare.co.uk/,WCAG2AA,BB4 7PL,5d06a9eee0673f62602f5a18,282,66,22,194
Roe Lane Surgery,http://www.roelanesurgery.nhs.uk,WCAG2AA,PR9 7PN,5d06a9eee0673f62602f5a19
"Edgworth Medical Centre - DrLeach, Dr Rafferty & Dr Bakht",http://www.edgworthmedicalcentre.co.uk,WCAG2AA,BL7 0DU,5d06a9eee0673f62602f5a1a,242,15,105,122
Norwood Surgery,http://www.norwoodsurgerysouthport.nhs.uk/,WCAG2AA,PR9 7EG,5d06a9eee0673f62602f5a1b,221,61,28,132
Waterfoot Group Of Doctors,http://www.waterfootgroupofdoctors.co.uk/index.aspx,WCAG2AA,BB4 7DN,5d06a9eee0673f62602f5a1c,213,51,53,109
St. Mark's Medical Centre,https://www.stmarksmc.nhs.uk,WCAG2AA,PR9 0TZ,5d06a9eee0673f62602f5a1d,167,54,17,96
Trinity Practice,http://www.trinitymedical.co.uk,WCAG2AA,PR9 0TZ,5d06a9eee0673f62602f5a1e,407,42,196,169
Christiana Hartley Medical Practice,http://www.christianahartleymedicalpractice.co.uk/,WCAG2AA,PR8 6PL,5d06a9eee0673f62602f5a1f,338,23,93,222
Irwell Medical Practice,http://www.irwellmedicalpractice.nhs.uk/,WCAG2AA,OL13 9NR,5d06a9eee0673f62602f5a20,260,18,103,139
The Grange Surgery,http://www.thegrangesurgery.org.uk/,WCAG2AA,GU31 4JR,5d06a9eee0673f62602f5a21,156,27,43,86
The Family Surgery,http://www.thefamilysurgeryorpington.nhs.uk,WCAG2AA,BR6 6BG,5d06a9eee0673f62602f5a22,191,9,70,112
Garden City Medical Centre,http://www.gardencitymc.nhs.uk/,WCAG2AA,BL0 9TN,5d06a9eee0673f62602f5a23,220,37,55,128
Dr Hampson & Partners,http://www.greenmountmc.nhs.uk,WCAG2AA,BL8 4DR,5d06a9eee0673f62602f5a24,241,5,122,114
Central Dales Practice,https://www.centraldalespractice.nhs.uk,WCAG2AA,DL8 3QR,5d06a9eee0673f62602f5a25,169,43,35,91
Calder Community Practice,http://www.parkandcaldercommunitypractice.co.uk,WCAG2AA,OL14 5RN,5d06a9eee0673f62602f5a26,195,10,71,114
Todmorden Group Practice,http://www.todmordengrouppractice.nhs.uk,WCAG2AA,OL14 5RN,5d06a9eee0673f62602f5a27,220,9,85,126
Whitworth Medical Centre,http://www.whitworthmedicalcentre.nhs.uk,WCAG2AA,OL12 8QS,5d06a9eee0673f62602f5a28,177,42,47,88
HEALEY SURGERY,http://www.healeysurgery.co.uk/,WCAG2AA,OL12 0SN,5d06a9eee0673f62602f5a29,205,52,42,111
Mark Street Surgery,http://www.markstreetsurgery.co.uk,WCAG2AA,OL12 9BE,5d06a9eee0673f62602f5a2a,276,31,113,132
The Croft Shifa Health Centre,http://www.drbabarandpartners.co.uk/,WCAG2AA,OL16 2UP,5d06a9eee0673f62602f5a2b,248,6,101,141
Dr Sonal Sharma,http://www.inspiremedicalcentre.co.uk/,WCAG2AA,OL16 2UY,5d06a9eee0673f62602f5a2c,487,11,320,156
Bradworthy Surgery,http://www.bradworthysurgery.nhs.uk,WCAG2AA,EX22 7SY,5d06a9eee0673f62602f5a2d,216,23,73,120
Holsworthy Medical Centre,http://www.rubycountrymedicalgroup.co.uk,WCAG2AA,EX22 6GH,5d06a9eee0673f62602f5a2e,356,19,202,135
Black Torrington Surgery,http://www.blakehousesurgery.co.uk/,WCAG2AA,EX21 5QE,5d06a9eee0673f62602f5a2f,392,67,148,177
Castle Gardens Surgery,http://www.castlegardenssurgery.co.uk/,WCAG2AA,EX38 8EU,5d06a9eee0673f62602f5a30,845,288,100,457
TORRINGTON HEALTH CENTRE,http://www.torringtonhc.co.uk,WCAG2AA,EX38 8EL,5d06a9eee0673f62602f5a31,415,167,25,223
Neetside Surgery,http://www.neetsidesurgery.co.uk,WCAG2AA,EX23 8LA,5d06a9eee0673f62602f5a32,167,9,49,109
Old Stable Surgery,http://www.torringtonhc.co.uk,WCAG2AA,EX37 9AX,5d06a9eee0673f62602f5a33,425,168,28,229
Fremington Medical Centre,http://www.fremington.org,WCAG2AA,EX31 2PG,5d06a9eee0673f62602f5a34,261,10,94,157
Winkleigh Surgery,http://www.wallingbrook.co.uk,WCAG2AA,EX19 8JH,5d06a9eee0673f62602f5a35,319,50,107,162
Caen Medical Centre,http://www.caenmedicalcentre.nhs.uk,WCAG2AA,EX33 1LR,5d06a9eee0673f62602f5a36,138,16,43,79
Brannam Medical Centre,http://www.brannammedicalcentre.com,WCAG2AA,EX32 8GP,5d06a9eee0673f62602f5a37
Litchdon Medical Centre,http://www.litchdonmedicalcentre.co.uk,WCAG2AA,EX32 9LL,5d06a9eee0673f62602f5a38,354,15,187,152
Queen's Medical Centre,http://queensmc.com,WCAG2AA,EX32 8HY,5d06a9eee0673f62602f5a39,304,24,100,180
OKEHAMPTON MEDICAL CENTRE,http://www.okehamptonmedicalcentre.co.uk/,WCAG2AA,EX20 1AY,5d06a9eee0673f62602f5a3a,504,62,280,162
Wallingbrook Health Group,http://www.wallingbrook.co.uk,WCAG2AA,EX18 7DL,5d06a9eee0673f62602f5a3b,319,50,107,162
Launceston Medical Centre,http://www.launcestonmedicalcentre.co.uk,WCAG2AA,PL15 9HH,5d06a9eee0673f62602f5a3c,296,45,67,184
North Tawton Medical Practice,http://www.bowmedicalpractice.co.uk/,WCAG2AA,EX20 2EX,5d06a9eee0673f62602f5a3d,159,11,38,110
Carnewater Practice - Lewannick,http://www.carnewaterpractice.co.uk,WCAG2AA,PL15 7QD,5d06a9eee0673f62602f5a3e,406,126,115,165
South Molton Medical Centre,http://www.southmoltonmedicalcentre.co.uk,WCAG2AA,EX36 3BZ,5d06a9eee0673f62602f5a3f,389,18,156,215
Bow Medical Practice,http://www.bowmedicalpractice.co.uk/,WCAG2AA,EX17 6FB,5d06a9eee0673f62602f5a40,553,128,282,143
Combe Coastal Practice,http://www.combecoastalpractice.co.uk,WCAG2AA,EX34 8EG,5d06a9eee0673f62602f5a41,238,56,16,166
New Valley Practice,http://newvalleypractice.co.uk,WCAG2AA,EX17 6PA,5d06a9eee0673f62602f5a42,245,19,98,128
Combe Coastal Practice - Combe Martin,http://www.combecoastalpractice.co.uk/,WCAG2AA,EX34 0JA,5d06a9eee0673f62602f5a43,252,57,20,175
Abbey Surgery,http://www.abbeysurgery.co.uk/,WCAG2AA,PL19 8BU,5d06a9eee0673f62602f5a44,473,13,365,95
Tavyside Health Centre,https://www.tavyside.org.uk,WCAG2AA,PL19 9FD,5d06a9eee0673f62602f5a45,2,1,0,1
Chagford Health Centre,http://www.chagfordhealthcentre.co.uk/,WCAG2AA,TQ13 8BW,5d06a9eee0673f62602f5a46,237,72,39,126
Tintagel Medical Centre,http://www.bottreauxsurgery.co.uk/,WCAG2AA,PL34 0AE,5d06a9eee0673f62602f5a47
Cheriton Bishop Surgery,http://cheritonbishoppractice.co.uk,WCAG2AA,EX6 6JA,5d06a9eee0673f62602f5a48,259,24,140,95
Moretonhampstead Health Centre,http://www.moretonhampsteadhealthcentre.co.uk,WCAG2AA,TQ13 8LW,5d06a9eee0673f62602f5a49,190,62,22,106
Dr A Garrod,http://www.churchfieldpractice.co.uk/,WCAG2AA,PL30 4LN,5d06a9eee0673f62602f5a4a,192,6,64,122
Lynton Health Centre,http://www.lyntonhealthcentre.co.uk,WCAG2AA,EX35 6HA,5d06a9eee0673f62602f5a4b,246,26,87,133
Vine House Health Centre,http://www.vinehouse.org,WCAG2AA,WD5 0AJ,5d06a9eee0673f62602f5a4c,305,71,84,150
Abbotswood Medical Centre,http://www.abbotswoodmc.co.uk,WCAG2AA,WD5 0BT,5d06a9eee0673f62602f5a4d,344,151,43,150
Sheepcot Medical Centre,https://www.sheepcotmedicalcentre.co.uk,WCAG2AA,WD25 7NL,5d06a9eee0673f62602f5a4e,262,69,49,144
North Approach Surgery,http://www.bridgewatersurgeries.nhs.uk/,WCAG2AA,WD25 0EL,5d06a9eee0673f62602f5b9e,403,155,68,180
Kings Langley Surgery,http://www.klbsurgeries.co.uk,WCAG2AA,WD4 8ET,5d06a9eee0673f62602f5b9d,700,9,340,351
Garston Medical Centre,https://www.garstonmedicalcentre.co.uk/,WCAG2AA,WD25 9GP,5d06a9eee0673f62602f5b9c,233,56,40,137
Bricket Wood Surgery,http://www.verulammedicalgroup.co.uk,WCAG2AA,AL2 3NF,5d06a9eee0673f62602f5b9b,303,16,85,202
Manor View Practice at Callowland,http://www.callowlandsurgery.co.uk,WCAG2AA,WD24 5DG,5d06a9eee0673f62602f5b9a,160,28,49,83
Tudor Surgery,http://www.thetudorsurgery.co.uk,WCAG2AA,WD24 7PH,5d06a9eee0673f62602f5b99,252,15,112,125
Bennetts End Surgery ,http://www.besteam.co.uk,WCAG2AA,HP3 9LY,5d06a9eee0673f62602f5b98,309,33,78,198
Park Street Surgery,http://www.theredhousegroup.com,WCAG2AA,AL2 2SN,5d06a9eee0673f62602f5b97,372,31,141,200
Lincoln House Surgery,http://www.lincolnhousesurgery.co.uk,WCAG2AA,HP3 9SQ,5d06a9eee0673f62602f5b96,236,9,124,103
The Elms Surgery/ Dr A Ahmad,http://www.theelmssurgery.co.uk,WCAG2AA,WD17 4NS,5d06a9eee0673f62602f5bb7,284,120,31,133
Midway Surgery,http://www.midwaysurgery.co.uk,WCAG2AA,AL2 3JX,5d06a9eee0673f62602f5bb6,247,29,93,125
SUTHERGREY HOUSE MEDICAL CENTRE,http://www.suthergrey.com,WCAG2AA,WD17 1LS,5d06a9eee0673f62602f5bb5,465,150,165,150
Upton Road Surgery,http://www.uptonroadsurgery.nhs.uk,WCAG2AA,WD18 0JP,5d06a9eee0673f62602f5bb4,237,18,94,125
Meadowell Centre,http://www.healthinclusionmatters.co.uk,WCAG2AA,WD18 0QN,5d06a9eee0673f62602f5bb3,4,2,0,2
Dr. Corp And Partners,http://www.newroadsurgery.info,WCAG2AA,WD3 6HL,5d06a9eee0673f62602f5bb2,272,43,99,130
Bridgewater Surgeries,http://www.bridgewatersurgeries.nhs.uk,WCAG2AA,WD18 7QR,5d06a9eee0673f62602f5bb1,403,155,68,180
Fernville Surgery,http://fernvillesurgery.org/,WCAG2AA,HP2 5BL,5d06a9eee0673f62602f5bb0
Boxmoor Doctors Surgery,http://www.parkwooddrivesurgery.nhs.uk,WCAG2AA,HP1 1QG,5d06a9eee0673f62602f5baf,614,24,279,311
Attenborough Surgery-Holywell Branch,https://www.attenboroughsurgery.co.uk/,WCAG2AA,WD18 6NT,5d06a9eee0673f62602f5bae,238,75,28,135
NEW ROAD SURGERY,http://www.newroadsurgery.info/,WCAG2AA,WD3 3HD,5d06a9eee0673f62602f5bad,272,43,99,130
Manor View Practice,http://www.manorviewpractice.co.uk,WCAG2AA,WD23 2NN,5d06a9eee0673f62602f5bbd,237,68,46,123
The Maltings Surgery,http://www.maltingssurgery.co.uk,WCAG2AA,AL1 3JB,5d06a9eee0673f62602f5bbc,158,52,22,84
The Red House,http://www.theredhousegroup.com,WCAG2AA,WD7 7JQ,5d06a9eee0673f62602f5bbb,372,31,141,200
Attenborough Surgery,http://www.attenboroughsurgery.co.uk,WCAG2AA,WD23 2NN,5d06a9eee0673f62602f5bba,238,75,28,135
Harvey Group Practice,http://www.harveyhousesurgery.co.uk,WCAG2AA,AL3 5HB,5d06a9eee0673f62602f5bb9,183,56,13,114
PARKWOOD SURGERY,http://www.parkwoodsurgery.nhs.uk,WCAG2AA,HP1 2LD,5d06a9eee0673f62602f5bb8,626,23,283,320
Grove Hill Medical Centre,http://www.grovehillmedicalcentre.nhs.uk/,WCAG2AA,HP2 6AD,5d06a9eee0673f62602f5bd6,503,13,222,268
Lodge Surgery,http://www.lodgesurgery.co.uk,WCAG2AA,AL3 5NP,5d06a9eee0673f62602f5bd5,380,28,141,211
Grange Street Surgery,http://www.grangestreetsurgery.co.uk/,WCAG2AA,AL3 5NF,5d06a9eee0673f62602f5bd4,155,20,40,95
Parkbury House Surgery,http://www.parkburyhouse.nhs.uk,WCAG2AA,AL1 3HD,5d06a9eee0673f62602f5bd3,435,51,129,255
Parkwood Surgery - Gadebridge,http://www.parkwooddrivesurgery.nhs.uk,WCAG2AA,HP1 3LE,5d06a9eee0673f62602f5bd2,593,13,262,318
ARCHWAY SURGERY ,http://www.archwaysurgery.co.uk,WCAG2AA,HP3 0HJ,5d06a9eee0673f62602f5bd1,225,8,78,139
Verulam Medical Group,http://www.verulammedicalgroup.co.uk,WCAG2AA,AL2 1ES,5d06a9eee0673f62602f5bd0,303,16,85,202
Lattimore Surgery,https://www.lattimoresurgery.co.uk,WCAG2AA,AL2 1EU,5d06a9eee0673f62602f5bcf,238,75,28,135
Chorleywood Health Centre,http://www.chorleywood.org,WCAG2AA,WD3 5EA,5d06a9eee0673f62602f5bce,439,147,70,222
The Attenborough Surgery-Carpenders Park Branch,http://www.attenboroughsurgery.co.uk,WCAG2AA,WD19 5EU,5d06a9eee0673f62602f5bcd,238,75,28,135
The Consulting Rooms,http://www.theconsultingroomssouthoxhey.co.uk,WCAG2AA,WD19 7RU,5d06a9eee0673f62602f5bcc,4,2,0,2
Pathfinder Practice,http://www.pathfinderpractice.nhs.uk,WCAG2AA,WD19 7SF,5d06a9eee0673f62602f5bcb,320,141,39,140
Gateways Gp Surgery,http://www.theredhousegroup.com,WCAG2AA,WD7 9LP,5d06a9eee0673f62602f5bca,372,31,141,200
Little Bushey Surgery,http://www.littlebusheysurgery.co.uk,WCAG2AA,WD23 1EZ,5d06a9eee0673f62602f5bc9
Bushey Surgery,http://www.schopwicksurgery.co.uk/,WCAG2AA,WD23 1NB,5d06a9eee0673f62602f5bc8,358,12,142,204
"Health Centre, Redbourn",http://www.thehealthcentreredbourn.co.uk,WCAG2AA,AL3 7BL,5d06a9eee0673f62602f5bc7,372,20,141,211
Eastbury Surgery,http://www.eastburysurgery.nhs.uk,WCAG2AA,HA6 3BG,5d06a9eee0673f62602f5be4,315,16,147,152
Schopwick Surgery,http://www.schopwicksurgery.co.uk/,WCAG2AA,WD6 3BJ,5d06a9eee0673f62602f5be3,357,11,142,204
Jersey Farm Surgery,http://www.jerseyfarmsurgery.co.uk,WCAG2AA,AL4 9RG,5d06a9eee0673f62602f5be2,183,57,13,113
The Grove Medical Centre,http://www.grovemedicalcentre.co.uk,WCAG2AA,WD6 4PR,5d06a9eee0673f62602f5be1,220,22,80,118
The Manor Street Surgery,http://www.manorstreetsurgery.org,WCAG2AA,HP4 2DL,5d06a9eee0673f62602f5be0,529,22,251,256
The Carepoint Practice,http://www.carepointpractice.nhs.uk,WCAG2AA,HA6 1TQ,5d06a9eee0673f62602f5cd6,1,1,0,0
Elliott Hall Medical Ctr.,http://www.ehmc.co.uk/,WCAG2AA,HA5 4EA,5d06a9eee0673f62602f5cd5,205,22,65,118
Berkhamsted Group Practice (Milton),http://www.berkhamstedgp.co.uk,WCAG2AA,HP4 3BY,5d06a9eee0673f62602f5cd4,286,57,86,143
Harefield Practice,https://theharefieldpractice.co.uk,WCAG2AA,UB9 6JY,5d06a9eee0673f62602f5cd3,147,48,33,66
Berkhamsted Group Practice (Boxwell),http://www.berkhamstedgp.co.uk,WCAG2AA,HP4 3EU,5d06a9eee0673f62602f5ce7,286,57,86,143
Stanmore Park Surgery,http://www.stanmoremedicalcentre.co.uk,WCAG2AA,HA7 4FZ,5d06a9eee0673f62602f5ce6,418,25,143,250
Aspri Medical Centre,http://www.asprimedicalcentre.co.uk,WCAG2AA,HA3 5LE,5d06a9eee0673f62602f5ce5,183,48,31,104
THE PINN MEDICAL CENTRE ,http://www.thepinn.co.uk,WCAG2AA,HA5 3EE,5d06a9eee0673f62602f5d04,194,41,25,128
WATLING MEDICAL CENTRE Stanmore,http://www.watlingmedicalcentre.co.uk/,WCAG2AA,HA7 4NU,5d06a9eee0673f62602f5d03,42,6,19,17
Gossoms End Surgery,http://www.gossomsendsurgery.co.uk/,WCAG2AA,HP4 1DL,5d06a9eee0673f62602f5d02,520,8,241,271
Enderley Road Medical Centre,http://www.enderley.nhs.uk,WCAG2AA,HA3 5HF,5d06a9eee0673f62602f5d01,537,8,213,316
Dr A Chafer And Partners,http://www.davenportsurgery.co.uk/,WCAG2AA,AL5 4HX,5d06a9eee0673f62602f5d00,198,21,36,141
Mulberry Medical Practice - Willow,http://www.mulberrymedical.nhs.uk/,WCAG2AA,HA8 8AG,5d06a9eee0673f62602f5cff,172,17,51,104
Gladstone Surgery,http://www.gladstonesurgery.co.uk,WCAG2AA,HP5 3EZ,5d06a9eee0673f62602f5cfe,318,22,169,127
Dr Firth And Partners,http://www.newsurgerychesham.nhs.uk,WCAG2AA,HP5 3EZ,5d06a9eee0673f62602f5cfd,383,40,216,127
THE ELMS MEDICAL PRACTICE,http://www.elmsmedicalpractice.co.uk,WCAG2AA,AL5 4QA,5d06a9eee0673f62602f5cfc,268,76,35,157
Savita Medical Centre (Spencer Road),http://www.savitamedicalcentre.co.uk/,WCAG2AA,HA3 7AR,5d06a9eee0673f62602f5cfb,613,48,259,306
Dr A Wood & Partners,http://www.amershamhealthcentre.co.uk,WCAG2AA,HP6 5AY,5d06a9eee0673f62602f5cfa,504,31,187,286
St Giles Surgery,http://www.misbournepractice.com/,WCAG2AA,HP8 4QG,5d06a9eee0673f62602f5cf9,210,14,88,108
Water Meadow Surgery,http://www.watermeadowsurgery.co.uk,WCAG2AA,HP5 1ET,5d06a9eee0673f62602f5cf8,246,11,105,130
Northdown Road Surgery,http://wraftonhousesurgery.co.uk/,WCAG2AA,AL10 8JZ,5d06a9eee0673f62602f5cf7,435,23,129,283
Jai Medical Centre,http://www.jaimedical.nhs.uk,WCAG2AA,HA8 8NB,5d06a9eee0673f62602f5cf6,1190,510,94,586
Dr Wijeratne & Partners,http://www.belmonthealthcentre.co.uk/,WCAG2AA,HA3 7LT,5d06a9eee0673f62602f5d1b,295,33,81,181
The Enterprise Practice,http://www.enterprisepractice.co.uk,WCAG2AA,HA3 7LT,5d06a9eee0673f62602f5d1a,137,33,21,83
Ladygate Lane Medical Practice,https://www.ladygatelanesurgery.co.uk,WCAG2AA,HA4 7QU,5d06a9eee0673f62602f5d19,229,59,23,147
The Stanmore Medical Centre,http://www.stanmoremedicalcentre.co.uk//,WCAG2AA,HA7 1HS,5d06a9eee0673f62602f5d18,418,25,143,250
Lane End Medical Group,http://www.laneendmedicalgroup.co.uk,WCAG2AA,HA8 9GJ,5d06a9eee0673f62602f5d17,457,9,212,236
Penshurst Gardens Surgery,https://www.penshurstgardenssurgery.co.uk,WCAG2AA,HA8 9TN,5d06a9eee0673f62602f5d16,210,48,23,139
